Data set #1
0 176 8
1 90 158
2 102 83
3 40 6
4 173 122
5 142 24
6 106 14
7 169 271
8 186 70
9 65 142
10 165 288
11 150 58
12 152 12
13 54 278
14 6 228
15 77 134
16 31 78
17 95 293
18 48 103
19 24 157
20 31 52
21 65 69
22 39 150
23 162 128
24 49 297
25 112 112
26 66 29
27 16 116
28 12 131
29 191 104
30 5 298
31 32 85
32 198 57
33 150 20
34 163 243
35 45 5
36 47 205
37 176 187
38 136 249
39 143 261
40 94 55
41 169 134
42 64 57
43 183 222
44 23 253
45 58 132
46 165 51
47 17 15
48 138 286
49 140 73
50 130 151
51 149 89
52 119 160
53 188 194
54 175 160
55 108 46
56 178 85
57 57 246
58 133 72
59 33 104
60 171 67
61 91 112
62 57 61
63 52 50
64 175 258
65 17 16
66 63 208
67 56 124
68 177 22
69 115 13
70 195 144
71 164 139
72 141 68
73 109 105
74 103 10
75 99 35
76 39 55
77 196 23
78 52 230
79 20 62
80 2 43
81 111 284
82 9 64
83 180 139
84 77 166
85 185 71
86 64 193
87 166 4
88 180 186
89 149 111
90 104 209
91 193 247
92 119 78
93 192 106
94 66 143
95 79 294
96 156 86
97 58 103
98 101 221
99 49 83

Data set #2
0 188 198
1 97 181
2 46 166
3 115 246
4 35 224
5 95 141
6 10 222
7 126 63
8 173 154
9 22 53
10 76 275
11 114 106
12 196 29
13 148 11
14 125 72
15 107 215
16 108 240
17 102 147
18 92 262
19 169 169
20 13 281
21 68 129
22 18 196
23 126 194
24 174 271
25 156 68
26 100 53
27 76 258
28 38 237
29 111 116
30 199 196
31 177 221
32 118 99
33 200 95
34 163 215
35 78 54
36 145 78
37 137 70
38 23 270
39 181 104
40 151 175
41 47 12
42 183 175
43 132 229
44 100 125
45 145 25
46 135 170
47 31 41
48 16 223
49 81 224
50 26 122
51 22 180
52 7 244
53 6 277
54 30 99
55 136 235
56 113 141
57 131 197
58 21 297
59 184 96
60 128 194
61 41 183
62 98 33
63 79 82
64 68 292
65 133 299
66 106 220
67 100 94
68 105 170
69 124 275
70 50 257
71 93 196
72 6 236
73 17 151
74 200 186
75 146 42
76 22 219
77 180 216
78 154 278
79 49 43
80 44 88
81 41 84
82 47 294
83 115 209
84 6 83
85 178 161
86 138 281
87 130 16
88 41 94
89 69 149
90 6 1
91 126 122
92 60 267
93 190 109
94 155 56
95 91 133
96 18 197
97 158 241
98 152 34
99 191 96

Data set #3
0 154 241
1 99 268
2 23 292
3 66 55
4 124 242
5 5 95
6 81 42
7 35 49
8 14 42
9 23 75
10 101 9
11 101 24
12 46 231
13 170 205
14 107 296
15 17 16
16 40 80
17 83 119
18 158 129
19 121 122
20 167 109
21 91 49
22 120 47
23 126 277
24 148 293
25 26 72
26 7 107
27 179 130
28 177 216
29 39 4
30 160 142
31 119 202
32 85 124
33 49 55
34 144 251
35 45 163
36 7 247
37 147 39
38 44 107
39 43 42
40 49 87
41 96 78
42 193 183
43 102 58
44 177 263
45 127 124
46 124 31
47 151 289
48 44 275
49 61 166
50 121 229
51 14 292
52 13 45
53 56 91
54 58 179
55 76 39
56 89 5
57 39 300
58 190 211
59 10 237
60 122 42
61 197 280
62 126 49
63 93 293
64 42 154
65 153 142
66 24 293
67 9 191
68 50 24
69 153 167
70 18 118
71 29 56
72 72 106
73 3 35
74 133 165
75 17 239
76 4 85
77 158 166
78 73 267
79 95 87
80 9 160
81 33 292
82 183 20
83 152 203
84 197 69
85 27 278
86 32 172
87 3 30
88 50 181
89 40 264
90 131 244
91 100 164
92 116 43
93 149 89
94 162 165
95 53 56
96 10 216
97 67 181
98 103 272
99 9 97

Data set #4
0 51 18
1 98 46
2 28 293
3 141 147
4 95 232
5 84 212
6 128 21
7 162 173
8 98 243
9 94 40
10 151 80
11 89 1
12 25 16
13 142 3
14 35 209
15 98 10
16 11 239
17 85 107
18 94 264
19 178 286
20 167 139
21 10 196
22 188 261
23 61 223
24 84 143
25 50 250
26 138 186
27 80 230
28 142 270
29 30 190
30 33 97
31 196 159
32 110 127
33 105 101
34 113 132
35 100 159
36 183 248
37 143 181
38 47 121
39 161 202
40 190 89
41 78 250
42 83 78
43 104 212
44 125 48
45 17 167
46 24 250
47 100 170
48 189 107
49 168 201
50 31 125
51 114 201
52 53 29
53 105 285
