Data set #1
0 117 290
1 120 176
2 182 177
3 158 266
4 140 40
5 166 17
6 180 24
7 35 45
8 60 113
9 60 208

Data set #2
0 89 188
1 188 227
2 115 100
3 99 126
4 65 138
5 94 14
6 10 104
7 18 235
8 101 271
9 11 73

Data set #3
0 187 241
1 191 240
2 136 176
3 182 108
4 19 275
5 27 263
6 70 150
7 200 290
8 29 128
9 10 242

Data set #4
0 100 135
1 122 253
2 73 5
3 132 9
4 10 81
5 139 140
6 124 119
7 49 234
8 41 275
9 21 243

Data set #5
0 171 220
1 197 83
2 0 107
3 125 182
4 42 18
5 80 296
6 196 238
7 164 144
8 64 97
9 11 51

Data set #6
0 138 109
1 15 290
2 124 110
3 139 300
4 111 16
5 40 298
6 32 276
7 82 227
8 13 83
9 96 56

Data set #7
0 177 188
1 140 53
2 126 187
3 148 282
4 56 274
5 34 114
6 74 9
7 129 32
8 60 191
9 25 214

Data set #8
0 48 74
1 87 168
2 125 284
3 14 235
4 149 151
5 155 225
6 1 109
7 12 295
8 57 283
9 151 40

Data set #9
0 21 154
1 50 196
2 122 176
3 3 114
4 117 280
5 176 186
6 192 234
7 65 220
8 156 205
9 134 34

Data set #10
0 87 3
1 154 167
2 92 228
3 123 186
4 4 130
5 54 87
6 117 64
7 93 43
8 29 98
9 189 269

Data set #11
0 162 139
1 189 294
2 59 134
3 150 91
4 171 48
5 150 214
6 168 107
7 76 45
8 181 85
9 177 236

Data set #12
0 198 165
1 131 26
2 120 228
3 118 154
4 121 141
5 5 237
6 17 187
7 50 74
8 188 45
9 83 112

Data set #13
0 109 106
1 33 141
2 78 79
3 99 78
4 91 280
5 72 77
6 175 267
7 73 131
8 122 38
9 54 40

Data set #14
0 62 276
1 138 236
2 85 39
3 35 19
4 53 199
5 139 186
6 160 14
7 185 6
8 32 106
9 73 49

Data set #15
0 20 298
1 178 14
2 115 23
3 183 257
4 50 22
5 130 13
6 42 229
7 166 2
8 154 0
9 157 246

Data set #16
0 25 102
1 33 66
2 64 52
3 128 209
4 90 60
5 45 109
6 163 35
7 133 10
8 124 226
9 194 241

Data set #17
0 114 123
1 67 159
2 61 82
3 118 84
4 78 131
5 83 52
6 89 286
7 102 118
8 123 284
9 199 63

Data set #18
0 135 140
1 55 253
2 185 157
3 71 60
4 113 106
5 109 269
6 74 98
7 45 235
8 8 173
9 196 202

Data set #19
0 23 223
1 179 93
2 87 232
3 144 170
4 45 202
5 172 42
6 41 236
7 182 72
8 44 163
9 177 31

Data set #20
0 122 18
1 151 68
2 26 4
3 170 260
4 153 273
5 125 252
6 169 216
7 57 85
8 107 149
9 28 241

Data set #21
0 185 58
1 133 204
2 0 220
3 170 79
4 3 262
5 163 112
6 116 70
7 189 165
8 147 185
9 162 20

Data set #22
0 197 47
1 1 132
2 34 1
3 8 250
4 98 233
5 73 142
6 120 108
7 82 287
8 87 196
9 20 157

Data set #23
0 8 161
1 82 112
2 23 275
3 174 206
4 91 66
5 146 269
6 194 269
7 191 238
8 195 138
9 33 140

Data set #24
0 141 125
1 160 193
2 81 116
3 31 12
4 172 54
5 101 149
6 85 57
7 57 64
8 63 135
9 28 210

Data set #25
0 135 217
1 107 192
2 6 285
3 94 148
4 40 76
5 175 61
6 79 277
7 49 139
8 44 119
9 86 74

Data set #26
0 50 280
1 186 231
2 189 183
3 133 258
4 11 41
5 93 55
6 147 297
7 133 27
8 12 57
9 134 100

Data set #27
0 167 285
1 141 299
2 161 92
3 178 126
4 180 224
5 32 187
6 140 77
7 115 250
8 35 183
9 194 283

Data set #28
0 47 82
1 76 194
2 124 285
3 18 128
4 199 187
5 164 126
6 20 62
7 78 95
8 19 49
9 170 1

Data set #29
0 132 9
1 163 63
2 82 97
3 2 121
4 38 75
5 156 98
6 164 176
7 54 143
8 121 44
9 0 59

Data set #30
0 109 290
1 195 83
2 3 251
3 146 118
4 174 127
5 168 277
6 26 68
7 121 180
8 167 194
9 52 197

Data set #31
0 71 51
1 31 33
2 72 265
3 145 120
4 132 22
5 146 126
6 156 35
7 46 52
8 125 264
9 79 64

Data set #32
0 191 129
1 170 150
2 141 75
3 189 266
4 79 1
5 187 127
6 46 197
7 105 7
8 125 140
9 125 109

Data set #33
0 46 178
1 35 100
2 184 50
3 178 272
4 152 148
5 175 89
6 77 176
7 156 233
8 129 168
9 56 114

Data set #34
0 2 77
1 185 62
2 65 217
3 130 16
4 185 249
5 1 27
6 63 29
7 115 37
8 180 178
9 10 163

Data set #35
0 100 133
1 44 14
2 125 114
3 174 297
4 115 215
5 113 32
6 8 44
7 185 212
8 81 169
9 16 150

Data set #36
0 77 185
1 68 195
2 200 166
3 53 138
4 8 296
5 49 21
6 143 22
7 128 167
8 59 281
9 147 258

Data set #37
0 48 86
1 192 287
2 127 134
3 142 185
4 80 211
5 101 166
6 98 234
7 38 33
8 12 49
9 162 295

Data set #38
0 38 3
1 167 159
2 99 6
3 191 193
4 142 56
5 66 9
6 138 34
7 48 54
8 158 121
9 36 286

Data set #39
0 113 138
1 159 185
2 140 265
3 106 123
4 123 35
5 16 150
6 26 163
7 52 216
8 108 114
9 149 3

Data set #40
0 36 236
1 78 171
2 153 79
3 71 131
4 32 268
5 0 172
6 137 298
7 195 148
8 179 10
9 76 96

Data set #41
0 162 126
1 197 46
2 120 73
3 157 97
4 18 128
5 21 297
6 32 74
7 96 130
8 82 86
9 154 136

Data set #42
0 190 80
1 183 29
2 66 56
3 178 55
4 47 216
5 63 210
6 107 273
7 182 139
8 60 287
9 113 185

Data set #43
0 186 159
1 199 211
2 5 142
3 112 268
4 153 144
5 137 213
6 11 271
7 40 128
8 199 214
9 87 78

Data set #44
0 139 64
1 182 278
2 10 282
3 150 266
4 75 47
5 120 23
6 78 66
7 184 123
8 156 48
9 23 51

Data set #45
0 13 40
1 16 72
2 146 142
3 50 128
4 154 55
5 68 52
6 14 86
7 81 274
8 190 191
9 92 59

Data set #46
0 18 295
1 111 258
2 49 158
3 180 18
4 129 169
5 37 30
6 53 165
7 125 98
8 118 74
9 90 253

Data set #47
0 170 125
1 56 12
2 27 134
3 110 183
4 183 5
5 104 256
6 25 196
7 6 234
8 114 263
9 17 136

Data set #48
0 119 73
1 122 138
2 46 236
3 44 255
4 196 226
5 63 17
6 182 173
7 17 126
8 119 80
9 171 138

Data set #49
0 76 183
1 25 15
2 181 192
3 19 18
4 177 205
5 58 186
6 84 73
7 150 251
8 53 281
9 173 109

Data set #50
0 4 91
1 143 43
2 61 174
3 103 121
4 145 55
5 193 1
6 151 284
7 109 248
8 61 264
9 132 52

Data set #51
0 171 185
1 48 57
2 159 205
3 151 268
4 200 79
5 124 151
6 74 297
7 120 53
8 83 119
9 169 187

Data set #52
0 35 26
1 130 12
2 139 226
3 93 85
4 21 221
5 178 24
6 10 60
7 148 160
8 168 139
9 14 238

Data set #53
0 157 124
1 56 256
2 36 297
3 160 202
4 54 265
5 123 216
6 188 292
7 144 159
8 128 203
9 145 113

Data set #54
0 98 139
1 61 209
2 114 60
3 138 5
4 149 292
5 123 187
6 107 254
7 100 18
8 63 234
9 128 134

Data set #55
0 22 191
1 182 240
2 45 170
3 6 271
4 126 166
5 117 231
6 153 109
7 123 246
8 17 297
