Data set #1
3 39
4 69
3 7 10
8 19 22
0 13 24
8 27 28
7 16 31
5 12 33
7 3 35
7 21 42
9 14 44
6 32 46
1 50 52
2 43 53
4 5 55
4 11 58
4 56 60
8 15 61
7 26 63
3 38 64
7 62 65
9 30 66
8 45 67
2 54 70
2 23 71
4 49 72
8 25 73
4 6 74
4 40 75
7 20 76
6 68 77
9 57 78
7 47 80
0 48 81
7 79 82
2 41 83
1 1 84
6 8 85
9 36 86
5 0 87
2 37 88
2 4 89
3 34 91
4 2 92
2 29 93
8 9 94
0 17 95
4 51 96
8 18 97
1 90 98
8 59 99

Data set #2
3 44
7 51
8 69
9 84
2 7 14
8 3 16
8 18 27
1 0 30
2 11 32
2 8 33
2 36 37
9 35 47
7 6 48
7 20 53
8 43 55
3 17 56
0 40 57
7 38 58
0 23 60
4 2 61
5 26 62
0 49 66
2 63 67
0 1 68
7 28 70
0 46 71
7 52 72
6 50 73
1 42 74
5 45 75
7 4 76
1 31 77
1 24 78
9 9 79
9 80 81
8 64 82
0 15 83
1 19 85
8 65 86
5 13 87
6 54 88
4 21 89
5 41 90
2 29 91
8 10 92
2 39 93
2 25 94
3 5 95
7 22 96
1 34 97
5 12 98
2 59 99

Data set #3
9 36
7 61
8 6 11
3 18 27
6 29 32
8 3 33
0 23 34
8 16 40
2 30 42
6 21 43
0 0 44
2 19 45
3 37 46
7 24 47
2 31 50
8 8 52
8 38 53
8 15 55
3 10 56
1 28 58
3 22 62
5 14 63
6 35 64
4 2 66
8 39 68
8 26 70
8 25 71
6 17 72
9 59 75
8 5 76
2 65 77
5 12 78
6 41 79
4 57 81
2 13 83
3 82 84
4 51 85
8 80 86
8 73 87
6 54 88
5 48 89
0 4 90
2 74 91
3 60 92
3 20 93
2 69 94
8 7 95
9 67 96
6 49 97
5 1 98
8 9 99

Data set #4
8 2
5 3
3 6
0 34
9 46
2 83
2 1 9
2 11 15
7 25 29
0 35 47
5 37 48
5 39 49
1 43 51
2 12 52
0 17 54
1 36 55
5 20 58
2 0 59
6 42 60
7 23 61
5 40 63
5 64 65
6 10 67
0 38 68
1 28 69
7 14 70
9 45 71
5 7 73
1 19 74
3 13 75
5 26 76
3 66 77
1 4 78
7 5 79
4 56 80
0 24 81
1 8 82
5 62 84
7 41 85
1 18 86
0 57 87
9 21 88
4 50 89
3 44 90
1 22 91
1 72 92
6 33 93
7 27 94
4 30 95
5 31 96
9 16 97
1 53 98
6 32 99

Data set #5
5 33
4 44
8 62
6 65
9 84
0 98
3 2 18
5 4 21
1 0 24
5 3 29
8 6 35
4 30 39
3 27 40
3 14 41
5 38 43
2 8 45
3 19 46
9 25 47
8 22 48
7 17 49
1 26 52
5 50 53
9 42 55
5 23 58
7 36 59
4 7 60
1 15 64
5 32 66
4 61 67
9 51 69
1 56 70
6 9 71
1 11 73
0 31 76
4 63 77
1 75 78
4 34 79
5 20 80
8 16 81
3 5 82
8 72 83
8 1 86
0 12 87
8 13 88
8 54 90
3 28 91
5 85 92
2 68 93
5 57 94
1 37 95
2 10 96
5 89 97
8 74 99

Data set #6
2 31
3 41
5 60
4 71
1 11 12
9 6 14
7 7 17
8 18 19
9 4 20
7 8 28
8 15 30
0 26 38
3 35 42
9 16 43
0 37 44
6 40 49
8 13 51
7 29 52
8 3 53
0 45 55
0 39 61
7 2 62
9 47 63
9 59 64
4 5 68
7 48 69
3 70 72
9 36 73
7 65 74
3 54 75
7 10 76
7 22 77
4 0 79
2 57 80
7 21 81
2 34 82
0 25 83
7 46 85
0 9 86
6 1 87
2 23 88
2 27 89
0 66 90
7 67 91
8 56 92
3 58 93
7 33 94
7 32 95
4 50 96
7 84 97
0 78 98
7 24 99

Data set #7
0 27
3 61
4 2 8
0 9 15
3 17 19
5 6 22
7 7 23
1 1 24
8 26 34
1 3 36
8 0 37
5 16 39
8 31 41
6 42 46
0 35 47
7 38 54
5 5 55
8 12 56
4 10 57
0 18 58
5 25 62
2 59 63
5 53 65
4 49 67
4 14 68
4 44 70
7 48 71
5 51 72
7 52 73
1 45 75
0 4 76
6 33 77
4 28 78
2 13 79
6 30 80
5 74 81
4 29 82
0 20 83
5 32 86
4 11 87
2 84 88
8 69 89
1 50 90
3 40 91
6 64 93
2 66 94
1 43 95
9 21 96
3 85 97
5 60 98
9 92 99

Data set #8
7 34
4 39
1 19 25
0 24 30
9 21 32
1 23 35
2 5 37
0 16 38
2 36 41
3 1 47
0 42 48
0 2 51
9 18 52
8 45 55
2 9 56
3 53 58
9 12 59
0 6 60
8 17 61
4 13 63
4 15 64
1 54 65
2 49 66
5 10 67
4 62 68
1 29 69
0 33 71
0 46 73
4 28 74
5 7 76
4 72 77
9 14 79
8 8 80
4 20 82
9 70 83
4 26 84
1 75 85
4 43 86
3 50 87
0 78 88
2 44 89
0 31 90
3 27 91
9 11 92
1 3 93
8 22 94
6 4 95
9 0 96
5 81 97
3 40 98
5 57 99

Data set #9
8 6
7 17
4 21
1 26
3 30
9 37
5 54
2 64
4 5 10
2 1 14
8 20 23
9 9 29
3 31 33
4 8 38
9 2 42
0 16 43
9 39 46
2 41 48
9 3 49
9 34 50
7 19 56
4 11 58
3 27 59
9 35 60
9 47 61
2 25 63
0 32 65
0 45 66
5 62 67
9 36 68
3 7 71
1 40 74
9 24 75
9 15 76
9 22 77
9 12 78
7 70 80
4 53 81
9 44 82
1 72 83
8 55 84
7 57 85
2 28 87
7 4 88
7 0 90
0 18 91
1 51 92
4 89 93
7 79 94
4 13 95
6 73 96
4 69 97
5 52 98
7 86 99

Data set #10
4 20
0 52
3 55
5 78
6 0 2
2 19 25
3 17 27
1 1 29
2 12 31
1 39 40
4 41 42
9 34 43
4 6 45
0 32 46
0 44 47
7 8 49
0 28 53
2 35 58
9 7 60
6 23 61
9 18 62
6 26 63
1 10 64
1 30 66
0 48 67
2 65 69
2 56 70
9 16 71
2 59 72
4 36 74
4 3 75
8 4 76
6 11 79
7 9 80
0 24 81
6 22 82
9 50 83
5 54 84
6 21 85
5 5 86
1 68 87
3 13 88
3 77 90
2 51 91
2 57 92
2 89 93
2 14 94
2 33 95
2 73 96
0 37 97
5 38 98
6 15 99

Data set #11
7 3
2 38
4 55
5 56
9 63
3 64
5 5 23
0 8 32
2 17 33
2 21 42
2 26 43
4 31 44
0 15 50
5 30 51
7 45 52
2 28 54
5 29 57
7 49 58
1 4 60
7 10 61
7 25 62
5 59 65
5 20 66
2 53 67
7 0 68
9 12 69
8 34 70
2 14 71
2 13 72
2 11 73
5 39 74
4 41 75
2 24 77
0 18 78
9 27 79
7 6 82
7 40 83
4 16 84
5 1 85
1 37 86
5 46 87
7 22 88
5 7 89
4 2 90
5 81 91
0 80 92
2 76 93
7 35 94
4 19 95
0 36 96
3 47 97
5 9 98
2 48 99

Data set #12
7 38
4 43
0 45
6 46
8 48
9 55
2 61
1 77
0 4 10
2 1 16
8 7 19
5 0 20
8 5 23
0 14 24
1 3 36
3 9 39
2 30 44
9 21 47
0 6 54
2 22 56
8 13 58
2 32 59
0 34 62
1 50 66
0 31 67
7 35 68
9 57 69
1 49 70
7 52 71
6 65 72
2 33 73
6 37 74
9 26 75
1 15 76
6 40 78
1 18 79
8 64 80
3 41 82
6 53 83
7 63 84
4 81 85
5 25 86
4 42 87
4 60 88
2 17 89
9 2 90
2 8 92
7 28 93
2 27 94
2 91 95
7 11 96
2 29 97
7 51 98
0 12 99

Data set #13
9 11
0 92
8 1 4
7 6 15
7 2 23
4 24 29
0 7 32
1 26 38
0 8 40
0 9 46
8 20 48
1 3 50
4 41 51
6 44 53
4 45 56
7 10 58
6 42 59
5 13 60
8 30 62
1 19 64
4 25 65
7 22 67
6 66 68
6 61 69
5 5 70
4 35 71
7 54 72
1 36 73
4 47 74
0 0 75
4 21 76
1 37 77
4 57 78
0 79 80
0 81 82
0 28 83
8 63 84
1 27 85
1 55 86
9 16 87
6 33 88
6 49 89
4 14 90
6 17 91
5 34 93
6 18 94
0 12 95
0 52 96
7 31 97
9 43 98
8 39 99

Data set #14
7 4
2 16
5 65
8 72
6 6 12
8 23 24
0 2 38
0 40 41
1 29 42
8 13 43
6 27 46
4 21 47
5 45 49
1 19 51
4 53 55
5 52 56
1 26 57
2 54 58
1 7 60
8 37 61
0 15 62
8 17 64
1 11 66
2 14 68
5 44 69
4 9 70
8 35 71
1 10 73
3 59 75
5 5 76
5 67 77
2 1 78
4 50 79
4 22 80
8 63 81
1 36 82
0 30 83
3 39 85
3 20 86
9 48 87
2 34 88
5 3 89
0 84 90
4 28 91
2 31 92
2 25 93
5 32 94
6 0 95
1 74 96
6 8 97
5 18 98
4 33 99

Data set #15
0 10
2 19
7 43
4 73
9 0 13
2 1 23
9 24 33
6 14 35
9 25 36
4 3 38
3 21 41
6 16 42
5 7 44
6 32 47
0 31 48
0 28 49
4 34 52
9 27 54
6 8 57
2 37 59
4 40 60
6 53 62
2 22 65
4 6 66
6 58 67
9 18 69
1 61 70
1 63 71
9 45 72
3 20 74
9 39 75
2 68 76
6 11 77
4 17 78
2 26 79
4 50 80
6 46 82
1 56 83
1 4 85
4 30 87
2 81 88
9 15 89
4 9 90
9 86 91
4 5 92
6 2 93
1 29 94
0 12 95
8 84 96
9 51 97
6 55 98
6 64 99

Data set #16
6 21
9 30
7 35
0 38
3 43
1 63
4 8 14
3 11 15
7 6 17
5 20 24
8 2 25
6 9 28
9 10 31
5 16 32
5 27 42
6 29 44
5 40 51
0 41 52
8 46 53
8 26 54
3 48 55
5 1 56
6 4 57
3 19 61
2 13 64
6 33 66
3 50 67
1 39 68
8 5 70
4 36 71
8 65 72
4 0 74
3 22 75
3 12 76
5 62 78
4 77 79
8 47 81
9 80 82
5 45 83
2 84 85
